Name;Email;Phone
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
Carlos Henrique;carlos.henrique@yahoo.com;5511911112222
Mariana Souza;mari.souza@outlook.com;5511988887777
John Doe;john.doe@techglobal.com;5547922223333
Ricardo Santos;ricardo.santos@hotmail.com;5521955554444
Ana Beatriz;ana.beatriz@gmail.com;5519966665555
